Draw Call #, GPU Time (ns), Frame Buffer Bottleneck, Frame Buffer Utilized, Geometry Unit Bottleneck, Geometry Unit Utilized, Input Assembly Bottleneck, Input Assembly Utilized, Primitive Count, Raster Operations Bottleneck, Raster Operations Utilized, Shader Bottleneck, Shader Utilized, Texture Bottleneck, Texture Utilized, Shaded Pixel Count, Vertex Instruction %, Geometry Instruction %, Pixel Instruction %
271, 1885, 2.36%, 1.00%, 1.06%, 1.05%, 16.92%, 0.00%, 8, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
272, 5982, 3.37%, 0.00%, 0.00%, 0.00%, 2.10%, 0.00%, 6, 0.00%, 0.00%, 0.00%, 6.67%, 0.00%, 0.00%, 256, 0.00%, 0.00%, 100.00%
273, 1944, 3.43%, 0.00%, 0.00%, 0.00%, 8.18%, 0.00%, 2, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
274, 1947, 3.41%, 0.00%, 0.00%, 0.00%, 7.22%, 0.00%, 2, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
275, 2217, 3.32%, 1.07%, 1.06%, 1.09%, 14.78%, 0.00%, 8, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
276, 6380, 3.41%, 0.00%, 0.00%, 0.00%, 2.04%, 0.00%, 8, 1.03%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
277, 1764, 4.54%, 3.07%, 4.00%, 4.11%, 8.16%, 3.06%, 24, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
278, 6741, 4.56%, 3.01%, 1.03%, 1.03%, 4.13%, 1.03%, 32, 2.03%, 1.00%, 1.10%, 23.66%, 1.09%, 1.08%, 1960, 23.05%, 0.00%, 76.95%
279, 1852, 2.48%, 0.00%, 1.11%, 1.09%, 11.03%, 1.10%, 8, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
280, 14238, 13.68%, 48.21%, 64.12%, 45.39%, 91.00%, 33.85%, 2827, 0.00%, 0.00%, 2.14%, 71.57%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
281, 3973, 10.45%, 36.16%, 44.37%, 34.12%, 73.14%, 22.63%, 535, 2.00%, 0.00%, 2.16%, 53.37%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
